paper,time_bin,-1,0,1,2,3,4,5,6,7,8,9
The Guardian,2022-07-01,0.1111111111111111,0.3888888888888889,0.16666666666666666,0.1111111111111111,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.05555555555555555
The Guardian,2022-10-01,0.0,0.28,0.04,0.0,0.2,0.08,0.0,0.24,0.16,0.0,0.0
The Guardian,2023-01-01,0.12121212121212122,0.2727272727272727,0.15151515151515152,0.06060606060606061,0.030303030303030304,0.12121212121212122,0.0,0.0,0.15151515151515152,0.06060606060606061,0.030303030303030304
The Guardian,2023-04-01,0.14285714285714285,0.19047619047619047,0.23809523809523808,0.14285714285714285,0.0,0.14285714285714285,0.0,0.047619047619047616,0.09523809523809523,0.0,0.0
The Guardian,2023-07-01,0.041666666666666664,0.4166666666666667,0.08333333333333333,0.041666666666666664,0.16666666666666666,0.08333333333333333,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333
The Guardian,2023-10-01,0.19047619047619047,0.23809523809523808,0.09523809523809523,0.14285714285714285,0.14285714285714285,0.0,0.09523809523809523,0.0,0.047619047619047616,0.0,0.047619047619047616
The Guardian,2024-01-01,0.05555555555555555,0.05555555555555555,0.2222222222222222,0.05555555555555555,0.0,0.3888888888888889,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0
The Guardian,2024-04-01,0.037037037037037035,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.4074074074074074,0.037037037037037035,0.14814814814814814,0.0,0.037037037037037035,0.0,0.0
The Guardian,2024-07-01,0.045454545454545456,0.18181818181818182,0.45454545454545453,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.0,0.0,0.0,0.0,0.18181818181818182
The Guardian,2024-10-01,0.0,0.23076923076923078,0.23076923076923078,0.0,0.0,0.23076923076923078,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.07692307692307693
